demogr.vars
ar
Hemkommun
Skolkommun
Skolenhetskod
Skolnamn
ARSKURS
Kön
F3_Omkodad
f4a
f4b
f4c
f4d
f4e
f4f
f4g
f4h
f4i
F5
f6a
f6b
F7
f8ma
f8mb
f8mc
f8md
f8me
f8mf
f8pa
f8pb
f8pc
f8pd
f8pe
f8pf
F9
F10
F11
F12
F13
